Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090295000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090303000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090319000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090359000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090367000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090383000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090391000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090423000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090431000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090463000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090471000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090511000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090519000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090559000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090567000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090607000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090631000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090671000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090679000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090719000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090727000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090743000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090751000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090791000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090799000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090839000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090847000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090887000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090895000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090935000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090943000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.090983000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.090991000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.091031000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.091039000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.091063000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.091079000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.091111000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.091119000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.091127000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.091135000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.091143000000000, 1, 1, 1, 1, 1, 1, 1, 1
2.091151000000000, 0, 1, 1, 1, 1, 1, 1, 1
